id,nazwisko,pensja,stanowisko
47637,Bieniek,10500,Software Engineer
47638,Kubica,10601,Project Manager
47639,Klimek,12418,Project Manager
47640,Żuk,10648,Data Analyst
47641,Kubica,5238,HR Specialist
47642,Ziółkowski,14399,Software Engineer
47643,Michalski,10885,Project Manager
47644,Szymański,14168,Data Engineer
47645,Marciniak,11419,Data Analyst
47646,Kozieł,11444,Data Engineer
47647,Wróbel,17113,DevOps Engineer
47648,Lach,13422,DevOps Engineer
47649,Morawski,18664,DevOps Engineer
47650,Kubiak,20523,Senior Data Engineer
47651,Kubat,11562,Project Manager
47652,Sobolewski,17327,Senior Data Engineer
47653,Kubica,24797,Senior Data Engineer
47654,Głowacki,9988,Data Analyst
47655,Kowalczyk,8519,Junior Data Engineer
47656,Witkowski,7721,HR Specialist
47657,Hajduk,9795,Data Analyst
47658,Majchrzak,8318,Junior Data Engineer
47659,Kosiński,6147,HR Specialist
47660,Krajewski,15387,Software Engineer
47661,Skiba,13958,Data Analyst
47662,Knap,8256,Junior Data Engineer
47663,Kujawa,18616,DevOps Engineer
47664,Kupiec,15445,Data Engineer
47665,Koral,10777,Project Manager
47666,Wieczorek,17636,DevOps Engineer
47667,Lasota,12377,Data Analyst
47668,Kogut,9428,Data Analyst
47669,Drzewiecki,13940,Data Analyst
47670,Gajewski,15451,Software Engineer
47671,Żuk,13383,Software Engineer
47672,Zalewski,9554,Data Analyst
47673,Baran,15477,Software Engineer
47674,Kubat,13023,Software Engineer
47675,Grzelak,15986,Project Manager
47676,Kulig,16643,Software Engineer
47677,Górski,14558,Data Engineer
47678,Kuczyński,19187,Senior Data Engineer
47679,Idzik,16510,Project Manager
47680,Stasiak,6639,Junior Data Engineer
47681,Prus,19065,Senior Data Engineer
47682,Wójcik,17310,Software Engineer
47683,Górecki,17076,Senior Data Engineer
47684,Kubica,13732,Software Engineer
47685,Kasprzak,5145,HR Specialist
47686,Wieczorek,13791,Data Analyst
47687,Furman,12584,Data Engineer
47688,Kuśnierz,19843,DevOps Engineer
47689,Adamczyk,23690,Senior Data Engineer
47690,Zieliński,12016,DevOps Engineer
47691,Hajduk,14825,Data Engineer
47692,Kalina,11739,Project Manager
47693,Bieniek,10008,Data Analyst
47694,Staszewski,18525,Senior Data Engineer
47695,Lipiński,15007,DevOps Engineer
47696,Pietrzak,14609,DevOps Engineer
47697,Kogut,15716,Software Engineer
47698,Kujawski,13116,Software Engineer
47699,Górski,15732,Software Engineer
47700,Gruszka,11041,DevOps Engineer
47701,Malec,18598,Senior Data Engineer
47702,Gruszka,10004,Data Engineer
47703,Kowalski,5378,HR Specialist
47704,Łuczak,12693,Project Manager
47705,Filipek,13160,Software Engineer
47706,Woźniak,10718,Data Analyst
47707,Kowalski,13754,Data Analyst
47708,Kowalczyk,5360,HR Specialist
47709,Karaś,14910,Software Engineer
47710,Kisiel,25817,Senior Data Engineer
47711,Kowalski,9922,Data Analyst
47712,Lipski,5459,HR Specialist
47713,Kurek,10994,Data Engineer
47714,Woźniak,14092,Data Engineer
47715,Kulig,8451,Junior Data Engineer
47716,Madejski,15769,Project Manager
47717,Mazur,7163,Junior Data Engineer
47718,Kozłowski,8454,Data Analyst
47719,Kwiatkowski,15307,Software Engineer
47720,Witkowski,10991,Project Manager
47721,Sobczak,10860,Project Manager
47722,Walczak,12050,Software Engineer
47723,Łuczak,17251,DevOps Engineer
47724,Kotowski,7783,Junior Data Engineer
47725,Kubat,12914,Data Analyst
47726,Laskowski,6516,Junior Data Engineer
47727,Lasota,12422,Data Analyst
47728,Kaczmarek,23391,Senior Data Engineer
47729,Kosiński,12509,Software Engineer
47730,Wojciechowski,5797,HR Specialist
47731,Strzelczyk,10125,Data Engineer
47732,Sikora,15553,Data Engineer
47733,Rutkowski,17344,Software Engineer
47734,Makowski,9755,Data Analyst
47735,Zieliński,13722,Project Manager
47736,Nowicki,8709,Junior Data Engineer
47737,Koral,11448,Project Manager
47738,Kaczmarek,18601,Senior Data Engineer
47739,Płonka,13530,Project Manager
47740,Lipski,10264,Data Analyst
47741,Sawicki,7340,Junior Data Engineer
47742,Karpiński,5698,HR Specialist
47743,Gałązka,7220,HR Specialist
47744,Jankowski,19840,Senior Data Engineer
47745,Kobus,17846,Senior Data Engineer
47746,Piotrowski,6228,Junior Data Engineer
47747,Gwóźdź,17470,Senior Data Engineer
47748,Stępień,8426,Data Analyst
47749,Kozak,13845,Data Analyst
47750,Walczak,18895,DevOps Engineer
47751,Zawadzki,5691,HR Specialist
47752,Prus,15975,Software Engineer
47753,Kalina,12693,Data Analyst
47754,Sobczak,17365,Software Engineer
47755,Lach,8167,Junior Data Engineer
47756,Nowicki,15082,DevOps Engineer
47757,Kobus,11924,Project Manager
47758,Kałuża,11124,Data Engineer
47759,Piotrowski,18990,Senior Data Engineer
47760,Kubica,11172,Software Engineer
47761,Śliwa,10900,Project Manager
47762,Karpiński,19905,DevOps Engineer
47763,Sobczak,17566,Senior Data Engineer
47764,Baranowski,6134,Junior Data Engineer
47765,Zając,12650,Data Analyst
47766,Lipiński,14064,Data Engineer
47767,Chmielewski,22824,Senior Data Engineer
47768,Kowalczyk,13689,Software Engineer
47769,Knap,22951,Senior Data Engineer
47770,Małecki,7473,Junior Data Engineer
47771,Krupa,8459,Junior Data Engineer
47772,Włodarczyk,14448,Project Manager
47773,Gałązka,19987,Senior Data Engineer
47774,Lipiński,17713,Software Engineer
47775,Wróbel,19416,DevOps Engineer
47776,Zięba,19756,DevOps Engineer
47777,Sobczak,6687,Junior Data Engineer
47778,Maj,6436,HR Specialist
47779,Mikołajczyk,11828,Project Manager
47780,Płonka,10841,Data Engineer
47781,Grzelak,6562,Junior Data Engineer
47782,Lorenc,10296,Data Analyst
47783,Zając,12732,Data Analyst
47784,Wasilewski,7807,HR Specialist
47785,Furman,8541,Junior Data Engineer
47786,Krawczyk,5317,HR Specialist
47787,Kmiecik,16557,Software Engineer
47788,Mróz,12992,DevOps Engineer
47789,Godlewski,11653,Data Analyst
47790,Janicki,18350,DevOps Engineer
47791,Król,10000,Project Manager
47792,Pawłowski,15787,Project Manager
47793,Jóźwiak,10507,Data Analyst
47794,Stępień,13727,DevOps Engineer
47795,Tkaczyk,10331,Software Engineer
47796,Kubiak,10563,Project Manager
47797,Walczak,13254,DevOps Engineer
47798,Chmielewski,13376,Data Analyst
47799,Sobolewski,12483,Data Analyst
47800,Maj,17994,Software Engineer
47801,Mikołajczyk,16879,Software Engineer
47802,Kozłowski,12352,Data Engineer
47803,Lis,6387,Junior Data Engineer
47804,Górski,6762,Junior Data Engineer
47805,Kłos,7643,Junior Data Engineer
47806,Czajka,16930,DevOps Engineer
47807,Sikora,25830,Senior Data Engineer
47808,Lach,15809,Project Manager
47809,Kulpa,14588,Software Engineer
47810,Wojciechowski,22604,Senior Data Engineer
47811,Tkaczyk,12550,Data Engineer
47812,Kędzierski,12351,Project Manager
47813,Krawczyk,9008,Data Analyst
47814,Malik,12583,Project Manager
47815,Kostrzewa,16577,Software Engineer
47816,Domagała,12882,Data Engineer
47817,Kubat,7088,Junior Data Engineer
47818,Wróblewski,15058,Data Engineer
47819,Malec,11682,Project Manager
47820,Grzelak,21198,Senior Data Engineer
47821,Gwóźdź,19590,DevOps Engineer
47822,Strzelczyk,7833,Junior Data Engineer
47823,Wójcik,10151,Software Engineer
47824,Wieczorek,16033,DevOps Engineer
47825,Gwóźdź,8093,Data Analyst
47826,Klimek,10828,Project Manager
47827,Szymański,8993,Junior Data Engineer
47828,Bąk,17512,Senior Data Engineer
47829,Mikołajczyk,15027,Data Engineer
47830,Piotrowski,14734,Data Engineer
47831,Bąk,10432,Software Engineer
47832,Kamiński,20958,Senior Data Engineer
47833,Kot,6867,Junior Data Engineer
47834,Adamski,15013,Project Manager
47835,Baran,15853,Project Manager
47836,Bednarek,16817,Project Manager
47837,Zawadzki,17003,DevOps Engineer
47838,Janus,10267,Project Manager
47839,Szewczyk,16866,DevOps Engineer
47840,Krakowiak,12528,Project Manager
47841,Zawadzki,13070,Data Analyst
47842,Zawadzki,11249,Data Engineer
47843,Adamczyk,13695,Software Engineer
47844,Kaczmarek,7689,Junior Data Engineer
47845,Grzelak,13831,Data Engineer
47846,Kucharski,8293,Junior Data Engineer
47847,Kowalczyk,9208,Software Engineer
47848,Kopeć,11698,Software Engineer
47849,Krakowiak,21147,Senior Data Engineer
47850,Pawłowski,5910,HR Specialist
47851,Kuśnierz,14946,Software Engineer
47852,Witkowski,11956,Data Engineer
47853,Kowalski,15143,Software Engineer
47854,Jóźwiak,8608,Junior Data Engineer
47855,Jurek,15403,Data Engineer
47856,Kijek,16849,DevOps Engineer
47857,Kubica,10006,Data Analyst
47858,Klimek,17861,DevOps Engineer
47859,Knap,20219,Senior Data Engineer
47860,Król,16345,DevOps Engineer
47861,Głowacki,16674,Software Engineer
47862,Piotrowski,23520,Senior Data Engineer
47863,Kasperek,16676,Software Engineer
47864,Duda,15223,Data Engineer
47865,Lach,12479,Data Engineer
47866,Frankowski,17012,Senior Data Engineer
47867,Kapusta,24275,Senior Data Engineer
47868,Jaworski,12908,Data Analyst
47869,Krajewski,12424,Software Engineer
47870,Bąk,6531,HR Specialist
47871,Jakubowski,7006,Junior Data Engineer
47872,Żuk,5687,HR Specialist
47873,Iskra,17637,Software Engineer
47874,Kucharz,19477,Senior Data Engineer
47875,Tokarz,21512,Senior Data Engineer
47876,Czajka,6246,HR Specialist
47877,Chmielewski,6511,Junior Data Engineer
47878,Kubica,6433,Junior Data Engineer
47879,Michalski,15607,DevOps Engineer
47880,Lewandowski,6697,Junior Data Engineer
47881,Kapusta,9366,Data Analyst
47882,Jaworski,15451,Project Manager
47883,Sadowski,10161,Project Manager
47884,Gacek,17041,Senior Data Engineer
47885,Kucharski,10726,Project Manager
47886,Krawczyk,6445,HR Specialist
47887,Lipski,7457,HR Specialist
47888,Sobolewski,8921,Data Analyst
47889,Guzik,23102,Senior Data Engineer
47890,Piotrowski,8268,Junior Data Engineer
47891,Makowski,17459,Software Engineer
47892,Kuciński,15764,Software Engineer
47893,Nowak,15899,Data Engineer
47894,Prus,13811,Data Engineer
47895,Zalewski,9813,Data Analyst
47896,Górecki,16233,DevOps Engineer
47897,Marciniak,10692,Data Analyst
47898,Bieniek,12651,Project Manager
47899,Kalina,15018,Project Manager
47900,Makowski,6905,Junior Data Engineer
47901,Filipek,7907,HR Specialist
47902,Wojciechowski,15252,Project Manager
47903,Janicki,17930,Software Engineer
47904,Wójcik,11145,Data Engineer
47905,Lis,8713,Data Analyst
47906,Jabłoński,11468,Data Analyst
47907,Ostrowski,17826,DevOps Engineer
47908,Gwóźdź,16877,Software Engineer
47909,Głowacki,13961,Software Engineer
47910,Kujawski,13747,Data Analyst
47911,Kwiecień,12444,Project Manager
47912,Mazur,11413,Data Analyst
47913,Wasilewski,7450,HR Specialist
47914,Janus,16970,DevOps Engineer
47915,Kubica,9065,Software Engineer
47916,Czajkowski,15356,Software Engineer
47917,Lewandowski,10890,Project Manager
47918,Kwiecień,23291,Senior Data Engineer
47919,Stępień,6810,HR Specialist
47920,Szczepanik,16310,Project Manager
47921,Żuk,21826,Senior Data Engineer
47922,Koral,7727,Junior Data Engineer
47923,Maj,18997,DevOps Engineer
47924,Janus,16272,DevOps Engineer
47925,Kamiński,16298,Project Manager
47926,Rutkowski,15561,Software Engineer
47927,Kuśnierz,12319,Data Engineer
47928,Guzik,6561,Junior Data Engineer
47929,Maciejewski,6351,HR Specialist
47930,Górecki,9663,Software Engineer
47931,Jakubowski,12701,Data Engineer
47932,Zalewski,25668,Senior Data Engineer
47933,Kędzierski,22773,Senior Data Engineer
47934,Kurek,12329,Software Engineer
47935,Koral,10082,Project Manager
47936,Domagała,11098,Project Manager
47937,Kubiak,15004,Software Engineer
47938,Drzewiecki,7014,HR Specialist
47939,Zieliński,8814,Junior Data Engineer
47940,Sikora,17300,Software Engineer
47941,Hajduk,17715,Senior Data Engineer
47942,Wiśniewski,12367,Data Engineer
47943,Kapusta,17089,Software Engineer
47944,Wójcik,7897,HR Specialist
47945,Majchrzak,11740,Data Engineer
47946,Kuś,11454,Data Analyst
47947,Szymański,10108,Project Manager
47948,Jabłoński,20480,Senior Data Engineer
47949,Pawłowski,13523,Project Manager
47950,Frankowski,19638,Senior Data Engineer
47951,Stępień,9319,Data Analyst
47952,Piotrowski,16037,Software Engineer
47953,Filipek,12180,Data Analyst
47954,Jankowski,13531,Data Engineer
47955,Skiba,13926,DevOps Engineer
47956,Walczak,6456,HR Specialist
47957,Sroka,7546,Junior Data Engineer
47958,Dąbrowski,12489,DevOps Engineer
47959,Knap,6289,Junior Data Engineer
47960,Woźniak,16974,Software Engineer
47961,Czajka,12991,Data Engineer
47962,Grabowski,11798,Software Engineer
47963,Kołek,14191,Project Manager
47964,Szczepański,12470,Software Engineer
47965,Kuś,9237,Data Analyst
47966,Maćkowiak,6581,Junior Data Engineer
47967,Karpiński,7435,Junior Data Engineer
47968,Frankowski,17230,Software Engineer
47969,Knap,5053,HR Specialist
47970,Ostrowski,23957,Senior Data Engineer
47971,Hajduk,6769,HR Specialist
47972,Zawadzki,24501,Senior Data Engineer
47973,Lach,11822,Software Engineer
47974,Filipek,5998,HR Specialist
47975,Lipiński,6722,HR Specialist
47976,Sroka,25171,Senior Data Engineer
47977,Bąk,6993,Junior Data Engineer
47978,Sroka,6756,HR Specialist
47979,Jurek,10144,Software Engineer
47980,Michalak,10726,Project Manager
47981,Godlewski,16626,DevOps Engineer
47982,Wrona,18111,Senior Data Engineer
47983,Maćkowiak,6046,HR Specialist
47984,Kępa,14779,DevOps Engineer
47985,Górski,13264,DevOps Engineer
47986,Sawicki,12648,Data Engineer
47987,Szewczyk,13821,Project Manager
47988,Kozłowski,13711,Software Engineer
47989,Walczak,13478,Software Engineer
47990,Lipiński,25029,Senior Data Engineer
47991,Adamski,10801,Software Engineer
47992,Żuk,10650,Software Engineer
47993,Sikora,17615,Software Engineer
47994,Kowalczyk,5926,HR Specialist
47995,Woźniak,16176,DevOps Engineer
47996,Mach,6511,Junior Data Engineer
47997,Kasperek,14057,Data Engineer
47998,Szulc,12374,Data Engineer
47999,Guzik,8025,Junior Data Engineer
48000,Nowicki,16229,DevOps Engineer
48001,Idzik,12377,Data Analyst
48002,Malik,12153,DevOps Engineer
48003,Włodarczyk,16574,Project Manager
48004,Jakubowski,7586,HR Specialist
48005,Jóźwiak,12129,Data Analyst
48006,Lewandowski,10389,Data Analyst
48007,Malec,5280,HR Specialist
48008,Tomaszewski,21674,Senior Data Engineer
48009,Sobolewski,11098,Data Analyst
48010,Kucharz,8401,Data Analyst
48011,Pawlak,14761,Project Manager
48012,Dudek,12517,Software Engineer
48013,Mach,6245,Junior Data Engineer
48014,Laskowski,8685,Junior Data Engineer
48015,Sobolewski,7999,HR Specialist
48016,Prus,6311,Junior Data Engineer
48017,Dziedzic,11902,Software Engineer
48018,Wiśniewski,7814,Junior Data Engineer
48019,Jezierski,13496,Data Engineer
48020,Kozieł,15455,DevOps Engineer
48021,Sawicki,7388,Junior Data Engineer
48022,Kuc,10178,Software Engineer
48023,Kisiel,18470,DevOps Engineer
48024,Wróblewski,11315,Data Analyst
48025,Kucharz,5251,HR Specialist
48026,Mach,10437,Software Engineer
48027,Ziółkowski,8842,Data Analyst
48028,Mach,16981,DevOps Engineer
48029,Grabowski,16700,Project Manager
48030,Kmiecik,8173,Junior Data Engineer
48031,Kulig,10497,Data Engineer
48032,Łukasik,15916,Project Manager
48033,Kostrzewa,14078,Software Engineer
48034,Kisiel,7302,HR Specialist
48035,Jabłoński,17703,Software Engineer
48036,Krupa,12437,Project Manager
48037,Sikora,12936,Data Analyst
48038,Jóźwiak,15954,Project Manager
48039,Borkowski,10182,Project Manager
48040,Garbacz,14774,DevOps Engineer
48041,Kosowski,8437,Data Analyst
48042,Michalak,8516,Data Analyst
48043,Majewski,7441,Junior Data Engineer
48044,Sobczak,24943,Senior Data Engineer
48045,Zalewski,21925,Senior Data Engineer
48046,Łukasik,9688,Data Analyst
48047,Kłos,11613,Project Manager
48048,Kubat,16371,Software Engineer
48049,Jarosz,14640,Project Manager
48050,Walczak,6426,HR Specialist
48051,Bąk,14961,Software Engineer
48052,Lewandowski,12861,Software Engineer
48053,Mazur,6160,HR Specialist
48054,Kmiecik,23315,Senior Data Engineer
48055,Kłos,14613,DevOps Engineer
48056,Gacek,10007,Data Engineer
48057,Kulig,7470,Junior Data Engineer
48058,Kubiak,8040,Data Analyst
48059,Malec,5824,HR Specialist
48060,Szczepański,7277,Junior Data Engineer
48061,Domagała,19595,DevOps Engineer
48062,Makowski,13796,DevOps Engineer
48063,Nowicki,17694,DevOps Engineer
48064,Kulig,6392,Junior Data Engineer
48065,Wiśniewski,10059,Project Manager
48066,Guzik,11961,Data Analyst
48067,Szewczyk,25876,Senior Data Engineer
48068,Tomaszewski,9152,Data Analyst
48069,Kotowski,13492,Project Manager
48070,Kupiec,8870,Junior Data Engineer
48071,Karpiński,9979,Data Analyst
48072,Łukasik,14927,Project Manager
48073,Sobczak,10378,Data Engineer
48074,Kujawa,9310,Data Analyst
48075,Kowalczyk,19175,DevOps Engineer
48076,Jarosz,6268,HR Specialist
48077,Maćkowiak,20810,Senior Data Engineer
48078,Kubica,8824,Junior Data Engineer
48079,Staszewski,22250,Senior Data Engineer
48080,Kasperek,14216,Data Engineer
48081,Sawicki,23243,Senior Data Engineer
48082,Kwiatkowski,19801,Senior Data Engineer
48083,Adamczyk,15018,Software Engineer
48084,Gałązka,15822,Data Engineer
48085,Duda,16629,Software Engineer
48086,Adamski,13730,DevOps Engineer
48087,Szulc,16210,Project Manager
48088,Gałązka,18459,DevOps Engineer
48089,Zieliński,10778,Data Engineer
48090,Ostrowski,10056,Data Analyst
48091,Garbacz,17938,Software Engineer
48092,Kosiński,8905,Junior Data Engineer
48093,Michalski,14692,Software Engineer
48094,Kamiński,15937,Project Manager
48095,Kędzierski,24130,Senior Data Engineer
48096,Kubica,14359,Software Engineer
48097,Kałuża,10788,Software Engineer
48098,Kijek,5250,HR Specialist
48099,Hajduk,7098,Junior Data Engineer
48100,Frankowski,13585,Software Engineer
48101,Róg,17676,Software Engineer
48102,Malik,25948,Senior Data Engineer
48103,Żuk,17987,Software Engineer
48104,Mikołajczyk,17391,DevOps Engineer
48105,Kasperek,10019,Data Engineer
48106,Łuczak,7884,Junior Data Engineer
48107,Ostrowski,16668,Software Engineer
48108,Kulig,13628,Project Manager
48109,Witkowski,10335,Data Analyst
48110,Kosiński,7482,HR Specialist
48111,Kapusta,7640,Junior Data Engineer
48112,Kłos,13484,Software Engineer
48113,Wróbel,19716,DevOps Engineer
48114,Kaczor,8776,Junior Data Engineer
48115,Krajewski,14198,Data Engineer
48116,Lewandowski,13529,Software Engineer
48117,Laskowski,5131,HR Specialist
48118,Kępa,5523,HR Specialist
48119,Makowski,7711,HR Specialist
48120,Górecki,8402,Junior Data Engineer
48121,Kubiak,7684,Junior Data Engineer
48122,Dudek,7285,HR Specialist
48123,Michalski,8313,Junior Data Engineer
48124,Idzik,10775,Data Analyst
48125,Knap,21232,Senior Data Engineer
48126,Kapusta,16849,Project Manager
48127,Maciejewski,13025,Project Manager
48128,Kapusta,5865,HR Specialist
48129,Kujawa,16767,DevOps Engineer
48130,Leśniak,8078,Junior Data Engineer
48131,Jezierski,6313,Junior Data Engineer
48132,Kucharz,24307,Senior Data Engineer
48133,Karpiński,8271,Data Analyst
48134,Frankowski,21008,Senior Data Engineer
48135,Bednarek,18130,Senior Data Engineer
48136,Łukasik,21281,Senior Data Engineer
48137,Ziółkowski,13463,Project Manager
48138,Kosiński,12242,Data Engineer
48139,Ostrowski,19809,Senior Data Engineer
48140,Sawicki,8947,Data Analyst
48141,Borkowski,7812,HR Specialist
48142,Staszewski,11050,DevOps Engineer
48143,Duda,5855,HR Specialist
48144,Mach,8888,Junior Data Engineer
48145,Piotrowski,6907,Junior Data Engineer
48146,Baranowski,13829,Project Manager
48147,Sadowski,5590,HR Specialist
48148,Maćkowiak,8437,Junior Data Engineer
48149,Kot,7483,HR Specialist
48150,Zalewski,19348,Senior Data Engineer
48151,Zięba,23193,Senior Data Engineer
48152,Pietrzak,23825,Senior Data Engineer
48153,Jankowski,10578,Data Analyst
48154,Jóźwiak,14501,Software Engineer
48155,Kamiński,7815,HR Specialist
48156,Tokarz,22323,Senior Data Engineer
48157,Mazur,12754,Data Engineer
48158,Kujawa,16545,Project Manager
48159,Łuczak,11437,Data Analyst
48160,Majchrzak,14996,DevOps Engineer
48161,Krajewski,23837,Senior Data Engineer
48162,Kucharz,8246,Junior Data Engineer
48163,Klimek,16129,Project Manager
48164,Kwiatkowski,11590,Data Engineer
48165,Wróblewski,11464,Data Engineer
48166,Wasilewski,10317,Data Analyst
48167,Bednarek,13080,Data Analyst
48168,Gołąb,8851,Junior Data Engineer
48169,Małecki,11935,Software Engineer
48170,Nowak,13098,Project Manager
48171,Gołąb,13952,Software Engineer
48172,Kubala,18330,DevOps Engineer
48173,Dudek,15073,Project Manager
48174,Klimek,15183,DevOps Engineer
48175,Kaczmarczyk,11136,Data Engineer
48176,Maciejewski,10693,Data Engineer
48177,Strzelczyk,12073,DevOps Engineer
48178,Madejski,8893,Junior Data Engineer
48179,Szczepanik,18883,Senior Data Engineer
48180,Dziedzic,8054,Junior Data Engineer
48181,Walczak,18408,Senior Data Engineer
48182,Lipka,13819,Project Manager
48183,Malinowski,12585,DevOps Engineer
48184,Karpiński,13065,Data Engineer
48185,Wójcik,12593,Software Engineer
48186,Klimek,18322,Senior Data Engineer
48187,Gwóźdź,5881,HR Specialist
48188,Kapusta,14799,Software Engineer
48189,Kasprzak,12569,Project Manager
48190,Strzelczyk,6172,HR Specialist
48191,Zając,11781,Data Engineer
48192,Kwiecień,10743,Data Engineer
48193,Wrona,9474,Software Engineer
48194,Kuś,10835,Data Engineer
48195,Gajewski,12764,Project Manager
48196,Kucharz,10603,Data Analyst
48197,Kamiński,10979,Data Engineer
48198,Piotrowski,10101,Project Manager
48199,Kaczor,10538,Data Engineer
48200,Prus,22298,Senior Data Engineer
48201,Wojciechowski,11710,Data Engineer
48202,Kałuża,15015,Project Manager
48203,Lipka,6068,Junior Data Engineer
48204,Mazur,12314,Project Manager
48205,Grabowski,6237,Junior Data Engineer
48206,Kujawski,13360,Data Engineer
48207,Łukasik,11326,DevOps Engineer
48208,Kucharski,13364,Data Engineer
48209,Kupiec,11647,Software Engineer
48210,Żuk,16720,DevOps Engineer
48211,Kulpa,9085,Software Engineer
48212,Nowakowski,11864,Data Analyst
48213,Madej,10903,Data Analyst
48214,Kmiecik,6084,Junior Data Engineer
48215,Nowakowski,21045,Senior Data Engineer
48216,Furman,13325,DevOps Engineer
48217,Michalak,7968,HR Specialist
48218,Kubat,12564,Data Engineer
48219,Dąbrowski,12002,Software Engineer
48220,Kuc,19898,DevOps Engineer
48221,Koral,8844,Data Analyst
48222,Sawicki,5082,HR Specialist
48223,Lewandowski,9850,Software Engineer
48224,Nowakowski,5186,HR Specialist
48225,Klimas,13968,Data Analyst
48226,Włodarczyk,13736,DevOps Engineer
48227,Knap,15140,Software Engineer
48228,Kulig,7591,Junior Data Engineer
48229,Wójcik,6308,HR Specialist
48230,Sikorski,7597,Junior Data Engineer
48231,Kwiatkowski,8441,Junior Data Engineer
48232,Kowalczyk,20504,Senior Data Engineer
48233,Staszewski,11209,Data Engineer
48234,Ciesielski,20776,Senior Data Engineer
48235,Stępień,8942,Junior Data Engineer
48236,Kulpa,7544,HR Specialist
48237,Wiśniewski,25245,Senior Data Engineer
48238,Kowalczyk,8103,Data Analyst
48239,Kaczor,6735,HR Specialist
48240,Kotowski,12627,Data Engineer
48241,Jabłoński,12371,Data Engineer
48242,Brzeziński,21674,Senior Data Engineer
48243,Komorowski,14725,Data Engineer
48244,Kuczyński,15778,Data Engineer
48245,Tokarz,12084,Data Analyst
48246,Gołąb,8296,Junior Data Engineer
48247,Madejski,5034,HR Specialist
48248,Koral,6728,HR Specialist
48249,Zalewski,20061,Senior Data Engineer
48250,Krajewski,7665,HR Specialist
48251,Jankowski,7414,Junior Data Engineer
48252,Zając,16594,Project Manager
48253,Włodarczyk,18889,Senior Data Engineer
48254,Kuciński,14202,Project Manager
48255,Tomaszewski,15065,Software Engineer
48256,Wilk,12528,DevOps Engineer
48257,Szczepański,11377,Software Engineer
48258,Sobolewski,14210,Data Engineer
48259,Klimek,6425,Junior Data Engineer
48260,Kowalczyk,6484,Junior Data Engineer
48261,Gwóźdź,14324,Data Engineer
48262,Furman,12859,Project Manager
48263,Szulc,7539,HR Specialist
48264,Furman,8784,Junior Data Engineer
48265,Kisiel,16100,Software Engineer
48266,Olszewski,13115,Data Engineer
48267,Grabowski,18229,Senior Data Engineer
48268,Michalski,6370,HR Specialist
48269,Czajkowski,14935,Project Manager
48270,Maciejewski,15799,Project Manager
48271,Majewski,14255,DevOps Engineer
48272,Bednarek,17800,Senior Data Engineer
48273,Kubat,13506,Data Analyst
48274,Kijek,14702,DevOps Engineer
48275,Lorenc,15740,Data Engineer
48276,Woźniak,11686,Software Engineer
48277,Kozak,12792,Data Engineer
48278,Garbacz,18437,DevOps Engineer
48279,Komorowski,7888,HR Specialist
48280,Laskowski,12358,Data Engineer
48281,Sikora,6462,Junior Data Engineer
48282,Lewandowski,12560,Project Manager
48283,Sobolewski,10002,Data Engineer
48284,Adamczyk,18666,DevOps Engineer
48285,Piotrowski,10550,Data Analyst
48286,Wojciechowski,22746,Senior Data Engineer
48287,Czajkowski,14674,DevOps Engineer
48288,Pietrzak,13486,Software Engineer
48289,Jaworski,15133,Software Engineer
48290,Wasilewski,10008,Data Analyst
48291,Zając,7385,Junior Data Engineer
48292,Maćkowiak,7506,HR Specialist
48293,Olszewski,8667,Junior Data Engineer
48294,Kołek,9498,Software Engineer
48295,Karpiński,17285,DevOps Engineer
48296,Jurek,14590,DevOps Engineer
48297,Górecki,16121,Software Engineer
48298,Madejski,6497,HR Specialist
48299,Kaczmarek,8680,Data Analyst
48300,Nowak,16498,DevOps Engineer
48301,Sobolewski,17301,Senior Data Engineer
48302,Mróz,22067,Senior Data Engineer
48303,Duda,13119,Software Engineer
48304,Nowak,14104,Project Manager
48305,Kłos,12988,Data Engineer
48306,Kasprzak,8693,Data Analyst
48307,Wilk,18446,DevOps Engineer
48308,Adamski,6717,HR Specialist
48309,Wieczorek,13498,Data Analyst
48310,Tkaczyk,23697,Senior Data Engineer
48311,Michalski,22612,Senior Data Engineer
48312,Pawłowski,22689,Senior Data Engineer
48313,Majchrzak,12190,Project Manager
48314,Kasperek,12782,Data Analyst
48315,Leśniak,18173,DevOps Engineer
48316,Sobolewski,12737,Data Analyst
48317,Kozak,18910,DevOps Engineer
48318,Kosiński,5909,HR Specialist
48319,Tkaczyk,13168,Data Engineer
48320,Wilk,7642,Junior Data Engineer
48321,Mazur,18303,DevOps Engineer
48322,Iskra,8857,Junior Data Engineer
48323,Madejski,6655,HR Specialist
48324,Kępa,18766,Senior Data Engineer
48325,Wilk,6414,Junior Data Engineer
48326,Mikołajczyk,12323,Data Analyst
48327,Stasiak,19337,Senior Data Engineer
48328,Ziółkowski,7459,Junior Data Engineer
48329,Kaczmarczyk,14621,Software Engineer
48330,Jarosz,17772,DevOps Engineer
48331,Sikorski,13110,Software Engineer
48332,Janus,7292,Junior Data Engineer
48333,Michalak,10224,Data Analyst
48334,Jasiński,9849,Data Analyst
48335,Lasota,14283,DevOps Engineer
48336,Pawlak,7141,Junior Data Engineer
48337,Idzik,18665,Senior Data Engineer
48338,Morawski,16664,Project Manager
48339,Szczepański,15596,Project Manager
48340,Stępień,5278,HR Specialist
48341,Kisiel,12853,Project Manager
48342,Kubica,13667,Data Analyst
